path,ticker,tf,t_start,t_end,bars,ymin,ymax,vol_mode,vmin,vmax,label,ret_fwd,horizon,extra_ch
data\cv\images\SBER\5m\w64_s16\0.0\img_0000000.png,SBER,5m,2024-10-17 04:00:00+00:00,2024-10-17 09:30:00+00:00,64,257.99,260.45,zscore,-1.1657041409396525,4.231339923200379,0.0,,36,atr_rel
data\cv\images\SBER\5m\w64_s16\0.0\img_0000001.png,SBER,5m,2024-10-17 05:20:00+00:00,2024-10-17 10:50:00+00:00,64,257.71,260.45,zscore,-1.1657041409396527,3.9907797655593806,0.0,,36,atr_rel
data\cv\images\SBER\5m\w64_s16\0.0\img_0000002.png,SBER,5m,2024-10-17 06:55:00+00:00,2024-10-17 12:10:00+00:00,64,257.45,260.45,zscore,-1.2769624575292515,2.820457108972427,0.0,,36,atr_rel
data\cv\images\SBER\5m\w64_s16\0.0\img_0000003.png,SBER,5m,2024-10-17 08:15:00+00:00,2024-10-17 13:30:00+00:00,64,257.17,260.02,zscore,-1.031743461771356,2.820457108972427,0.0,,36,atr_rel
data\cv\images\SBER\5m\w64_s16\0.0\img_0000004.png,SBER,5m,2024-10-17 09:35:00+00:00,2024-10-17 14:50:00+00:00,64,257.17,258.9,zscore,-0.8696110897199306,3.8301378350116995,0.0,,36,atr_rel
data\cv\images\SBER\5m\w64_s16\0.0\img_0000005.png,SBER,5m,2024-10-17 10:55:00+00:00,2024-10-17 16:25:00+00:00,64,256.55,258.59,zscore,-1.0351435634835306,3.8301378350116995,0.0,,36,atr_rel
data\cv\images\SBER\5m\w64_s16\0.0\img_0000006.png,SBER,5m,2024-10-17 12:15:00+00:00,2024-10-17 17:45:00+00:00,64,256.32,258.55,zscore,-1.1369832951155805,3.7988011962558406,0.0,,36,atr_rel
data\cv\images\SBER\5m\w64_s16\0.0\img_0000007.png,SBER,5m,2024-10-17 13:35:00+00:00,2024-10-18 05:15:00+00:00,64,256.22,258.27,zscore,-1.035143563483531,1.01104046996035,0.0,,36,atr_rel
data\cv\images\SBER\5m\w64_s16\0.0\img_0000008.png,SBER,5m,2024-10-17 14:55:00+00:00,2024-10-18 06:35:00+00:00,64,256.22,257.98,zscore,-1.057185297125174,3.8408679900160156,0.0,,36,atr_rel
data\cv\images\SBER\5m\w64_s16\0.0\img_0000009.png,SBER,5m,2024-10-17 16:30:00+00:00,2024-10-18 08:10:00+00:00,64,255.81,258.9,zscore,-0.9671852319120056,4.2453026870293415,0.0,,36,atr_rel
data\cv\images\SBER\5m\w64_s16\0.0\img_0000010.png,SBER,5m,2024-10-18 04:00:00+00:00,2024-10-18 09:30:00+00:00,64,255.57,258.9,zscore,-0.9881028275026562,4.2453026870293415,0.0,,36,atr_rel
data\cv\images\SBER\5m\w64_s16\0.0\img_0000011.png,SBER,5m,2024-10-18 05:20:00+00:00,2024-10-18 10:50:00+00:00,64,254.73,258.9,zscore,-0.8961011624176902,4.003928651180247,0.0,,36,atr_rel
data\cv\images\SBER\5m\w64_s16\0.0\img_0000012.png,SBER,5m,2024-10-18 06:55:00+00:00,2024-10-18 12:10:00+00:00,64,254.73,258.9,zscore,-1.1818328332932724,3.6142369606029043,0.0,,36,atr_rel
data\cv\images\SBER\5m\w64_s16\0.0\img_0000013.png,SBER,5m,2024-10-18 08:15:00+00:00,2024-10-18 13:30:00+00:00,64,254.73,258.33,zscore,-1.356533797029693,3.6142369606029043,0.0,,36,atr_rel
data\cv\images\SBER\5m\w64_s16\0.0\img_0000014.png,SBER,5m,2024-10-18 09:35:00+00:00,2024-10-18 14:50:00+00:00,64,254.41,257.34,zscore,-1.3565337970296991,3.810807914814677,0.0,,36,atr_rel
data\cv\images\SBER\5m\w64_s16\0.0\img_0000015.png,SBER,5m,2024-10-18 10:55:00+00:00,2024-10-18 16:25:00+00:00,64,254.41,257.2,zscore,-1.356533797029693,3.810807914814676,0.0,,36,atr_rel
data\cv\images\SBER\5m\w64_s16\0.0\img_0000016.png,SBER,5m,2024-10-18 12:15:00+00:00,2024-10-18 17:45:00+00:00,64,254.41,257.2,zscore,-1.3511637771548817,3.810807914814676,0.0,,36,atr_rel
data\cv\images\SBER\5m\w64_s16\0.0\img_0000017.png,SBER,5m,2024-10-18 13:35:00+00:00,2024-10-19 05:15:00+00:00,64,254.41,258.18,zscore,-1.409607231191519,2.1219637118424317,0.0,,36,atr_rel
data\cv\images\SBER\5m\w64_s16\0.0\img_0000018.png,SBER,5m,2024-10-18 14:55:00+00:00,2024-10-19 06:35:00+00:00,64,256.12,258.18,zscore,-1.409607231191508,3.75760382990279,0.0,,36,atr_rel
data\cv\images\SBER\5m\w64_s16\0.0\img_0000019.png,SBER,5m,2024-10-18 16:30:00+00:00,2024-10-19 07:55:00+00:00,64,256.28,258.18,zscore,-1.2744140156279202,3.757603829920881,0.0,,36,atr_rel
data\cv\images\SBER\5m\w64_s16\0.0\img_0000020.png,SBER,5m,2024-10-19 04:00:00+00:00,2024-10-19 09:15:00+00:00,64,256.76,258.18,zscore,-0.879960543701652,3.7576038299209173,0.0,,36,atr_rel
data\cv\images\SBER\5m\w64_s16\0.0\img_0000021.png,SBER,5m,2024-10-19 05:20:00+00:00,2024-10-19 10:35:00+00:00,64,256.67,257.66,zscore,-0.809084332409976,3.0148579489251994,0.0,,36,atr_rel
data\cv\images\SBER\5m\w64_s16\0.0\img_0000022.png,SBER,5m,2024-10-19 06:40:00+00:00,2024-10-19 11:55:00+00:00,64,256.67,257.49,zscore,-0.8804923316835698,2.8688125968157685,0.0,,36,atr_rel
data\cv\images\SBER\5m\w64_s16\0.0\img_0000023.png,SBER,5m,2024-10-19 08:00:00+00:00,2024-10-19 13:15:00+00:00,64,256.67,257.44,zscore,-0.9403080336364957,2.563059983769466,0.0,,36,atr_rel
data\cv\images\SBER\5m\w64_s16\0.0\img_0000024.png,SBER,5m,2024-10-19 09:20:00+00:00,2024-10-19 14:35:00+00:00,64,256.67,257.39,zscore,-0.948022702116184,3.6502012373031896,0.0,,36,atr_rel
data\cv\images\SBER\5m\w64_s16\0.0\img_0000025.png,SBER,5m,2024-10-19 10:40:00+00:00,2024-10-19 15:55:00+00:00,64,256.52,257.32,zscore,-0.9403080336364961,3.650201237303194,0.0,,36,atr_rel
